listener_id,age,country,platform,subscription,top_genre,top_artist,daily_listening_minutes,songs_per_day,playlists_count,skip_rate_pct,discover_weekly_user,top_mood,uses_offline_mode,podcasts_too
1,24,Australia,Apple Music,Free,R&B,Kendrick Lamar,191,54,9,39.3,FALSE,Sleep,FALSE,TRUE
2,21,Germany,Spotify,Free,Classical,Drake,249,68,10,18.3,TRUE,Workout,TRUE,TRUE
3,32,Japan,Amazon Music,Free,Hip-Hop,Olivia Rodrigo,49,11,11,22.7,TRUE,Sad,FALSE,TRUE
4,39,Japan,Apple Music,Free,Pop,Burna Boy,96,22,8,29.4,TRUE,Sad,TRUE,FALSE
5,23,India,Spotify,Family,Country,Olivia Rodrigo,100,24,13,37.7,TRUE,Workout,TRUE,TRUE
6,41,Australia,Tidal,Free,Rock,Olivia Rodrigo,64,19,10,12,TRUE,Energetic,FALSE,TRUE
7,13,Australia,Spotify,Free,EDM,Burna Boy,193,53,7,20.3,TRUE,Sleep,FALSE,FALSE
8,22,India,SoundCloud,Premium,Hip-Hop,Bad Bunny,142,44,7,33.3,FALSE,Workout,FALSE,FALSE
9,40,Australia,Spotify,Free,Hip-Hop,Bad Bunny,120,38,7,15.4,TRUE,Happy,FALSE,TRUE
10,27,Nigeria,Spotify,Student,Hip-Hop,Burna Boy,127,33,8,48.7,TRUE,Happy,FALSE,TRUE
11,31,Germany,Apple Music,Free,Rock,SZA,255,73,9,42.2,FALSE,Workout,FALSE,FALSE
12,30,Canada,SoundCloud,Student,R&B,Taylor Swift,481,135,11,35.8,FALSE,Workout,TRUE,TRUE
13,50,Japan,Apple Music,Free,Jazz,Burna Boy,330,97,5,21.7,TRUE,Sleep,FALSE,TRUE
14,24,Japan,YouTube Music,Free,Jazz,Bad Bunny,107,36,12,24.9,TRUE,Party,TRUE,TRUE
15,13,USA,Apple Music,Free,Pop,Olivia Rodrigo,54,15,14,10,FALSE,Energetic,FALSE,TRUE
16,13,India,YouTube Music,Premium,Pop,Travis Scott,75,18,8,37.9,TRUE,Sad,TRUE,FALSE
17,28,Australia,Tidal,Free,R&B,Taylor Swift,288,81,9,25.5,FALSE,Chill,FALSE,FALSE
18,37,Canada,Spotify,Free,Lo-fi,Burna Boy,39,9,4,31.8,TRUE,Party,TRUE,TRUE
19,20,USA,Spotify,Family,EDM,Travis Scott,58,11,10,42.9,TRUE,Happy,FALSE,TRUE
20,32,UK,YouTube Music,Free,Hip-Hop,Billie Eilish,121,33,12,16.4,FALSE,Chill,FALSE,FALSE
21,21,Brazil,Amazon Music,Free,Pop,Travis Scott,222,59,6,7.3,TRUE,Chill,TRUE,TRUE
22,15,Canada,Apple Music,Free,K-Pop,The Weeknd,140,44,7,34.3,TRUE,Chill,FALSE,FALSE
23,23,Australia,Amazon Music,Student,Afrobeats,Billie Eilish,171,58,7,25,FALSE,Chill,FALSE,FALSE
24,26,Canada,Spotify,Free,Pop,BTS,212,62,5,21.4,TRUE,Sleep,FALSE,TRUE
25,38,Australia,Tidal,Free,R&B,Olivia Rodrigo,41,13,6,21.9,FALSE,Chill,TRUE,TRUE
26,34,UK,YouTube Music,Premium,Jazz,Bad Bunny,50,13,8,41,TRUE,Sleep,FALSE,FALSE
27,25,Germany,Apple Music,Premium,EDM,BTS,49,17,16,44.8,TRUE,Chill,FALSE,TRUE
28,27,India,Spotify,Free,Afrobeats,Billie Eilish,45,9,14,36.9,TRUE,Chill,TRUE,FALSE
29,27,USA,YouTube Music,Free,R&B,Bad Bunny,107,31,10,15.7,TRUE,Energetic,FALSE,TRUE
30,13,Canada,Amazon Music,Free,Hip-Hop,The Weeknd,40,9,10,13.2,TRUE,Happy,TRUE,TRUE
31,13,Brazil,Spotify,Free,Pop,Olivia Rodrigo,25,4,6,38.8,FALSE,Focus,FALSE,TRUE
32,24,Australia,Spotify,Family,Hip-Hop,Billie Eilish,134,39,11,7,TRUE,Sleep,FALSE,FALSE
33,21,UK,YouTube Music,Premium,Hip-Hop,The Weeknd,225,75,8,16.4,FALSE,Focus,FALSE,TRUE
34,40,USA,Spotify,Premium,Country,Dua Lipa,214,61,7,29.7,FALSE,Sad,FALSE,TRUE
35,20,UK,Apple Music,Premium,Indie,Billie Eilish,270,78,3,12.4,TRUE,Workout,FALSE,FALSE
36,16,France,Spotify,Free,Country,Kendrick Lamar,170,44,11,33.3,TRUE,Sleep,FALSE,TRUE
37,37,Canada,Spotify,Premium,Rock,The Weeknd,233,63,15,38.8,TRUE,Happy,FALSE,FALSE
38,13,Japan,Apple Music,Family,Jazz,SZA,129,43,8,40.9,TRUE,Sad,FALSE,FALSE
39,40,India,Spotify,Premium,Hip-Hop,The Weeknd,112,38,10,13.6,FALSE,Focus,FALSE,TRUE
40,17,Canada,Amazon Music,Student,Classical,Burna Boy,155,32,11,10.9,FALSE,Sleep,FALSE,TRUE
41,24,India,Spotify,Family,Country,The Weeknd,256,75,8,54.3,FALSE,Sad,FALSE,TRUE
42,27,Brazil,Apple Music,Family,Afrobeats,The Weeknd,88,28,6,26.2,TRUE,Workout,FALSE,FALSE
43,23,Canada,Spotify,Premium,EDM,Burna Boy,154,41,12,37.7,TRUE,Sleep,FALSE,TRUE
44,30,Japan,Spotify,Family,Hip-Hop,Tyler the Creator,17,1,9,39.2,TRUE,Workout,TRUE,FALSE
